Experiment,Time (s)
5,1600.1882684230804
5,766.0012249946594
10,1177.129715204239
10,2684.267076253891
55,3266.3496100902557
5,2303.6495995521545
55,4088.847505569458
rnn,20,836.6121706962585
rnn,25,1279.5666227340698
rnn,35,1500.0446064472198
rnn,50,2012.8535380363464
lstm,25,2282.7261686325073
rnn,15,2368.5114119052887
lstm,50,2436.729096889496
rnn,45,3109.2766358852386
lstm,35,3109.755813598633
lstm,15,3215.810549259186
rnn,60,3213.6156866550446
rnn,30,3274.504248380661
lstm,30,3318.147041320801
lstm,20,3468.0034415721893
rnn,40,3651.613421201706
lstm,40,3897.1360535621643
lstm,45,4054.6209840774536
lstm,60,4309.635462999344
